OGLE-LMC-CEP-0049,F,43:35.6,-70:41:46.6,15.316,3.8491608,0.0000136,LMC530.16.34,
OGLE-LMC-CEP-0050,F,43:40.3,-69:34:14.2,14.195,7.8454429,0.0000283,LMC538.26.8,
OGLE-LMC-CEP-0051,1,43:44.2,-70:18:14.7,15.566,1.7544645,0.0000024,LMC530.25.6370,
OGLE-LMC-CEP-0052,1,43:54.2,-68:49:14.9,15.118,2.385646,0.0000076,LMC539.10.10088,
OGLE-LMC-CEP-0053,F,44:04.8,-69:50:29.1,15.685,2.6338747,0.0000023,LMC538.18.52,
OGLE-LMC-CEP-0054,1,44:06.1,-70:05:43.8,15.197,2.2765684,0.0000079,LMC538.09.42,
OGLE-LMC-CEP-0055,F,44:34.1,-67:04:21.5,15.452,2.8620681,0.0000027,LMC540.28.28,
OGLE-LMC-CEP-0056,F,44:47.0,-70:13:51.0,15.355,3.6670371,0.000023,LMC530.24.2581D,
OGLE-LMC-CEP-0057,F,44:52.7,-69:01:59.5,13.886,10.3067803,0.0000776,LMC531.25.20439,
OGLE-LMC-CEP-0058,F,44:53.3,-69:11:29.7,14.977,4.3155685,0.0000058,LMC531.25.14490,
OGLE-LMC-CEP-0059,F,44:54.9,-68:38:21.7,15.011,4.3903931,0.0000083,-99.99,
OGLE-LMC-CEP-0060,F,44:59.6,-69:49:55.7,15.417,3.4064849,0.0000072,LMC538.17.55,
OGLE-LMC-CEP-0061,12,45:00.8,-68:07:01.3,16.66,0.8685818,0.0000021,LMC539.26.11173,
OGLE-LMC-CEP-0062,1,45:13.6,-68:54:51.8,15.089,2.1530915,0.0000075,LMC539.09.42,
OGLE-LMC-CEP-0063,F,45:18.6,-69:16:38.6,-99.99,21.067711,0.0040892,-99.99,
OGLE-LMC-CEP-0064,F,45:29.3,-69:08:49.4,15.295,3.2291389,0.0000063,LMC531.25.5674,
OGLE-LMC-CEP-0065,1,45:29.4,-68:19:16.3,18.198,0.3382917,0.0000013,LMC539.26.425,
OGLE-LMC-CEP-0066,1,45:34.2,-69:53:54.0,15.735,1.9492243,0.0000097,LMC538.17.31,
OGLE-LMC-CEP-0067,F,45:34.6,-70:22:15.1,15.327,3.4854335,0.0000044,LMC530.24.6900,
OGLE-LMC-CEP-0068,F,45:37.2,-70:15:03.7,12.748,28.3738735,0.0003703,LMC530.24.6894,
OGLE-LMC-CEP-0069,1,45:38.7,-68:39:06.3,15.651,1.8070072,0.0000106,LMC539.18.35,
OGLE-LMC-CEP-0070,F,46:01.1,-69:38:55.8,13.754,13.7462846,0.0000794,LMC538.17.12700,
OGLE-LMC-CEP-0071,1,46:06.3,-68:46:31.8,15.962,1.3858956,0.0000023,LMC539.09.10977,
OGLE-LMC-CEP-0072,F,46:32.8,-68:44:57.6,15.565,2.3366463,0.0000121,LMC531.32.15873,
OGLE-LMC-CEP-0073,12,46:38.5,-67:08:43.9,16.785,0.8371477,0.0000014,LMC540.26.439D,
OGLE-LMC-CEP-0074,1,46:38.5,-66:57:48.7,15.422,1.793123,0.0000048,LMC540.26.6184,
OGLE-LMC-CEP-0075,F,46:39.1,-70:15:57.6,15.342,3.4187485,0.0000029,LMC530.23.7467,
OGLE-LMC-CEP-0076,F,46:47.9,-69:05:43.1,15.033,5.1478925,0.0000225,LMC531.24.19791,
